epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.9303,1.52595,2.98795,1.67281,0.0116,0.94444,0.29128,0.1812,0.95405,2.74162,1.23102,0.00010002,0.00010002,0.00010002
2,5.20152,1.19532,2.76098,1.46733,0.0147,1,0.48894,0.19201,1.65219,2.87755,1.6223,0.000214565,0.000214565,0.000214565
3,7.44737,1.1685,2.44926,1.45997,0.01264,0.97222,0.46569,0.26164,1.32402,2.69773,1.44301,0.000326799,0.000326799,0.000326799
4,9.60515,1.12183,2.16993,1.37664,0.01246,0.97222,0.53731,0.33739,1.63299,2.67301,1.56878,0.000436722,0.000436722,0.000436722
5,11.7927,1.20849,1.85606,1.46372,0.01202,0.97222,0.79292,0.35021,1.45654,2.46617,1.58996,0.000544336,0.000544336,0.000544336
6,13.9256,1.08054,1.77066,1.39546,0.90287,0.53424,0.84997,0.44123,1.35598,2.27535,1.6281,0.000649638,0.000649638,0.000649638
7,16.0962,1.09857,1.5235,1.45411,0.5,0.13253,0.55858,0.26457,1.68648,2.29817,1.97061,0.00075263,0.00075263,0.00075263
8,18.2232,1.25613,1.44715,1.49569,0.65317,0.5965,0.64287,0.29647,1.75527,2.20757,1.94569,0.000853312,0.000853312,0.000853312
9,20.3661,1.21653,1.39583,1.48839,0.63539,0.49536,0.41512,0.20823,1.78915,2.20332,1.92332,0.000951684,0.000951684,0.000951684
10,22.4383,1.04652,1.27903,1.33504,0.59845,0.38515,0.4593,0.21591,1.66712,2.16195,1.92664,0.00104774,0.00104774,0.00104774
11,24.5156,1.14983,1.24108,1.41566,0.50061,0.52874,0.46845,0.21386,1.73694,2.22167,2.10479,0.00114149,0.00114149,0.00114149
12,26.6317,1.11544,1.41021,1.43996,0.33573,0.30556,0.26743,0.12539,1.80676,2.47861,2.32069,0.00123293,0.00123293,0.00123293
13,28.7208,1.17505,1.2727,1.42555,0.37772,0.36111,0.2796,0.12721,1.81988,2.53735,2.26966,0.00132206,0.00132206,0.00132206
14,30.8268,1.17999,1.38749,1.46223,0.70012,0.58164,0.814,0.36021,1.81436,2.00557,2.16531,0.00140888,0.00140888,0.00140888
15,33.0236,1.15682,1.23182,1.3975,0.7348,0.66667,0.7126,0.44722,1.62154,1.81981,2.01179,0.00143595,0.00143595,0.00143595
16,35.1139,1.10684,1.39813,1.40558,0.49382,0.69444,0.46927,0.27183,1.58508,1.7243,1.918,0.00141945,0.00141945,0.00141945
17,37.1776,1.10747,1.22736,1.41109,0.47141,0.69444,0.46103,0.2305,1.69919,1.70609,2.01971,0.00140295,0.00140295,0.00140295
18,39.2685,1.16127,1.27139,1.45439,0.57107,0.41667,0.53608,0.27615,1.93632,1.75048,2.31171,0.00138644,0.00138644,0.00138644
19,41.3648,1.13856,1.17437,1.39766,0.71635,0.70428,0.81175,0.33754,1.82125,1.62255,2.19543,0.00136994,0.00136994,0.00136994
20,43.4897,1.17094,1.21488,1.46464,0.61108,0.79735,0.73719,0.30853,1.79544,1.52356,2.1752,0.00135344,0.00135344,0.00135344
21,45.5367,0.95628,1.13093,1.27617,0.35544,0.58333,0.45683,0.17844,1.99268,1.77663,2.25813,0.00133693,0.00133693,0.00133693
22,47.6107,1.07265,1.05549,1.30269,0.33697,0.33333,0.34136,0.15601,2.05551,2.13653,2.42689,0.00132043,0.00132043,0.00132043
23,49.6886,1.02645,1.08666,1.33512,0.42691,0.25,0.37865,0.17177,1.84063,2.01841,2.18851,0.00130393,0.00130393,0.00130393
24,51.772,1.01071,1.01767,1.28291,0.7502,0.75,0.67954,0.21589,2.00624,2.07751,2.11505,0.00128742,0.00128742,0.00128742
25,53.8262,0.94834,0.98482,1.2427,0.50222,0.55556,0.54483,0.26217,1.99728,1.97677,2.17176,0.00127092,0.00127092,0.00127092
26,55.9193,1.0176,1.02613,1.29852,0.94245,0.59761,0.75986,0.33597,1.86502,1.69639,2.11251,0.00125442,0.00125442,0.00125442
27,58.0166,1.03489,1.00007,1.25928,0.69599,0.75,0.77863,0.32656,1.87524,1.81171,2.28474,0.00123791,0.00123791,0.00123791
28,60.0932,0.96147,0.93478,1.24758,0.61645,0.78767,0.65247,0.32681,1.7587,1.72757,1.84921,0.00122141,0.00122141,0.00122141
29,62.1304,0.95304,0.94863,1.219,0.66425,0.77778,0.81518,0.37028,1.65454,1.71187,1.77577,0.00120491,0.00120491,0.00120491
30,64.3348,0.91048,0.91232,1.22849,0.52329,0.66996,0.72014,0.3036,1.76543,1.75336,1.94462,0.0011884,0.0011884,0.0011884
31,66.4376,0.87616,0.88816,1.22132,0.38266,0.69444,0.56046,0.34464,1.88438,1.6224,2.05641,0.0011719,0.0011719,0.0011719
32,68.5474,0.8967,0.89861,1.23554,0.52209,0.80556,0.65462,0.33399,1.74983,1.49269,2.07064,0.0011554,0.0011554,0.0011554
33,70.6007,0.87693,0.85451,1.21849,0.45277,0.5871,0.54472,0.32964,1.74971,1.58581,2.1034,0.00113889,0.00113889,0.00113889
34,72.6714,0.87697,0.86018,1.20425,0.50316,0.73469,0.61211,0.35253,1.67917,1.49134,1.96645,0.00112239,0.00112239,0.00112239
35,74.7618,0.80423,0.79339,1.18375,0.55499,0.67253,0.53953,0.24165,1.74406,1.46462,1.95157,0.00110589,0.00110589,0.00110589
36,76.8217,0.8426,0.775,1.16018,0.634,0.64672,0.54506,0.28766,1.73716,1.61448,1.99387,0.00108938,0.00108938,0.00108938
37,78.8419,0.85535,0.82137,1.18702,0.46637,0.66416,0.50379,0.28195,1.8733,2.05933,2.05601,0.00107288,0.00107288,0.00107288
38,80.9123,0.86209,0.79166,1.21202,0.54345,0.52778,0.57305,0.28691,2.00955,2.16068,2.09632,0.00105638,0.00105638,0.00105638
39,82.9876,0.8532,0.90504,1.18644,0.66063,0.55556,0.62636,0.33383,1.80776,1.77555,1.92133,0.00103987,0.00103987,0.00103987
40,85.0448,0.80519,0.8118,1.13074,0.65378,0.62969,0.60752,0.38289,1.68199,1.38525,1.91621,0.00102337,0.00102337,0.00102337
41,87.0824,0.89835,0.95934,1.25573,0.86517,0.56308,0.78075,0.46783,1.51027,1.24619,1.74246,0.00100687,0.00100687,0.00100687
42,89.1654,0.82373,0.80112,1.17499,0.52935,0.72222,0.73618,0.48834,1.6679,1.36418,1.84779,0.000990365,0.000990365,0.000990365
43,91.2553,0.76492,0.77776,1.13132,0.70606,0.58333,0.76586,0.46856,1.78054,1.47,2.05774,0.000973861,0.000973861,0.000973861
44,93.3564,0.83692,0.8033,1.18698,0.68514,0.63889,0.70801,0.37706,1.66935,1.6303,1.9253,0.000957358,0.000957358,0.000957358
45,95.472,0.82853,0.75135,1.16069,0.75191,0.63525,0.61593,0.3827,1.65658,1.51568,1.88989,0.000940855,0.000940855,0.000940855
46,97.707,0.77061,0.73149,1.15249,0.51596,0.66202,0.58398,0.36859,1.78553,1.6205,1.94699,0.000924352,0.000924352,0.000924352
47,99.8799,0.73143,0.7063,1.09323,0.56286,0.61111,0.6059,0.39286,1.58093,1.41416,1.88622,0.000907848,0.000907848,0.000907848
48,102.003,0.8557,0.75437,1.18934,0.64183,0.63513,0.64282,0.42624,1.69456,1.41371,1.90921,0.000891345,0.000891345,0.000891345
49,104.115,0.83446,0.7408,1.15121,0.68027,0.65846,0.65021,0.41734,1.69785,1.34274,1.89145,0.000874842,0.000874842,0.000874842
50,106.296,0.84757,0.74603,1.17107,0.64481,0.67844,0.63638,0.35776,1.84199,1.54524,2.03183,0.000858338,0.000858338,0.000858338
51,108.489,0.7773,0.71365,1.13745,0.62447,0.72222,0.60489,0.3308,1.89787,1.56294,2.04089,0.000841835,0.000841835,0.000841835
52,110.657,0.72012,0.72288,1.11378,0.59409,0.71202,0.67816,0.3531,1.8006,1.4173,1.99328,0.000825332,0.000825332,0.000825332
53,112.815,0.73001,0.68095,1.11692,0.54318,0.55556,0.63569,0.34963,1.77651,1.44552,1.95217,0.000808828,0.000808828,0.000808828
54,115.009,0.70448,0.67078,1.11314,0.46312,0.67913,0.60002,0.3369,1.8929,1.38673,2.04889,0.000792325,0.000792325,0.000792325
55,117.14,0.72513,0.68137,1.09188,0.45334,0.66452,0.60745,0.37156,1.75274,1.21661,1.98565,0.000775822,0.000775822,0.000775822
56,119.291,0.69252,0.68588,1.10748,0.54327,0.47225,0.55629,0.35651,1.68043,1.33771,1.96999,0.000759318,0.000759318,0.000759318
57,121.409,0.65274,0.63568,1.06763,0.53229,0.47222,0.54834,0.33659,1.68279,1.35592,1.94165,0.000742815,0.000742815,0.000742815
58,123.571,0.68363,0.72387,1.0959,0.58343,0.47222,0.56992,0.3319,1.68388,1.38261,1.88385,0.000726312,0.000726312,0.000726312
59,125.668,0.68063,0.68148,1.09937,0.69566,0.47222,0.57292,0.34932,1.64703,1.31494,1.84589,0.000709809,0.000709809,0.000709809
60,127.739,0.6668,0.59747,1.07094,0.71442,0.66667,0.68244,0.35598,1.65403,1.33296,1.84573,0.000693305,0.000693305,0.000693305
61,129.805,0.68237,0.59222,1.10781,0.72471,0.68174,0.66624,0.37284,1.60263,1.31199,1.82602,0.000676802,0.000676802,0.000676802
62,131.884,0.61271,0.60266,1.06383,0.69279,0.6738,0.69532,0.39863,1.60959,1.19008,1.79301,0.000660299,0.000660299,0.000660299
63,133.957,0.60969,0.6135,1.06419,0.65908,0.678,0.70193,0.42432,1.67581,1.24451,1.88444,0.000643795,0.000643795,0.000643795
64,136.013,0.65391,0.63974,1.06077,0.76239,0.86111,0.86186,0.40847,1.70044,1.16505,1.9195,0.000627292,0.000627292,0.000627292
65,138.063,0.61986,0.70458,1.0649,0.64727,0.88889,0.76631,0.41166,1.70264,1.14586,1.90185,0.000610789,0.000610789,0.000610789
66,140.132,0.7585,0.70395,1.12991,0.81876,0.48767,0.65808,0.38512,1.5832,1.30579,1.82598,0.000594286,0.000594286,0.000594286
67,142.185,0.62792,0.62229,1.04571,0.6992,0.48832,0.59154,0.39009,1.54899,1.30167,1.73341,0.000577782,0.000577782,0.000577782
68,144.225,0.59744,0.57202,1.05326,0.77028,0.41667,0.59745,0.37741,1.54133,1.31505,1.69331,0.000561279,0.000561279,0.000561279
69,146.257,0.6635,0.57748,1.05163,0.62728,0.49827,0.61423,0.39872,1.57006,1.26774,1.71114,0.000544776,0.000544776,0.000544776
70,148.322,0.66994,0.58179,1.094,0.69067,0.52778,0.63511,0.3852,1.70642,1.23235,1.82839,0.000528272,0.000528272,0.000528272
71,150.43,0.66548,0.56775,1.07111,0.58379,0.72222,0.64064,0.40321,1.59247,1.1536,1.76949,0.000511769,0.000511769,0.000511769
72,152.505,0.59948,0.55568,1.0523,0.68554,0.72222,0.6661,0.46212,1.56834,1.02475,1.73009,0.000495266,0.000495266,0.000495266
73,154.547,0.5466,0.53332,1.01057,0.74004,0.71466,0.68061,0.4609,1.57647,0.98438,1.75098,0.000478762,0.000478762,0.000478762
74,156.642,0.6028,0.61856,1.0404,0.72533,0.72222,0.67229,0.43629,1.6033,0.97377,1.79088,0.000462259,0.000462259,0.000462259
75,158.746,0.66013,0.57336,1.05648,0.65484,0.72222,0.66578,0.44319,1.44258,0.96111,1.64906,0.000445756,0.000445756,0.000445756
76,160.838,0.59825,0.57059,1.05785,0.65324,0.72222,0.66553,0.44377,1.41115,0.91795,1.65576,0.000429253,0.000429253,0.000429253
77,162.892,0.52484,0.53581,0.97467,0.69265,0.72222,0.69285,0.46791,1.44037,0.94383,1.66426,0.000412749,0.000412749,0.000412749
78,164.965,0.63262,0.65065,1.01985,0.60997,0.72222,0.66137,0.44664,1.51161,1.00902,1.72004,0.000396246,0.000396246,0.000396246
79,167.035,0.54899,0.56203,1.02723,0.6958,0.7193,0.67503,0.45277,1.48894,1.13333,1.70355,0.000379743,0.000379743,0.000379743
80,169.141,0.53839,0.4964,1.00367,0.66112,0.68736,0.69984,0.46606,1.42964,1.18428,1.67494,0.000363239,0.000363239,0.000363239
81,171.2,0.61485,0.58896,1.11158,0.66868,0.68091,0.71508,0.46219,1.47109,1.22807,1.72276,0.000346736,0.000346736,0.000346736
82,173.292,0.52522,0.50833,1.03361,0.62659,0.71034,0.6601,0.45153,1.56018,1.2027,1.7987,0.000330233,0.000330233,0.000330233
83,175.353,0.56633,0.52487,1.03603,0.60668,0.55556,0.62476,0.39953,1.61867,1.23277,1.82115,0.000313729,0.000313729,0.000313729
84,177.439,0.51962,0.48029,0.9933,0.63709,0.70626,0.65774,0.41727,1.60455,1.22415,1.8389,0.000297226,0.000297226,0.000297226
85,179.49,0.56381,0.53003,1.05087,0.61048,0.7086,0.63728,0.41915,1.55809,1.18672,1.80475,0.000280723,0.000280723,0.000280723
86,181.56,0.53373,0.52469,1.01938,0.63203,0.70897,0.64751,0.41562,1.54188,1.13497,1.76332,0.00026422,0.00026422,0.00026422
87,183.635,0.4938,0.51295,1.01919,0.61294,0.72121,0.63491,0.43676,1.54579,1.14373,1.73509,0.000247716,0.000247716,0.000247716
88,185.792,0.63714,0.61153,1.17071,0.62445,0.72222,0.64199,0.44317,1.49315,1.12637,1.71074,0.000231213,0.000231213,0.000231213
89,187.878,0.55885,0.62263,1.04221,0.62093,0.72222,0.64133,0.44293,1.47606,1.12935,1.69598,0.00021471,0.00021471,0.00021471
90,189.981,0.60419,0.63545,1.03963,0.59148,0.72222,0.6375,0.41797,1.48669,1.16057,1.71915,0.000198206,0.000198206,0.000198206
91,192.08,0.50648,0.55366,1.05642,0.57313,0.72056,0.65427,0.42407,1.46108,1.20095,1.74374,0.000181703,0.000181703,0.000181703
92,194.111,0.5168,0.52303,1.0534,0.65209,0.55556,0.56227,0.35691,1.46869,1.19869,1.7371,0.0001652,0.0001652,0.0001652
93,196.485,0.37145,0.5287,0.91771,0.64612,0.55556,0.56038,0.35691,1.49479,1.19999,1.74022,0.000148696,0.000148696,0.000148696
94,198.554,0.39702,0.47904,0.92161,0.6452,0.55556,0.55353,0.32663,1.58037,1.20552,1.76636,0.000132193,0.000132193,0.000132193
95,200.643,0.41314,0.47807,1.0237,0.63719,0.55556,0.54938,0.34533,1.59041,1.22951,1.77046,0.00011569,0.00011569,0.00011569
96,202.714,0.4409,0.49681,0.92813,0.48198,0.85321,0.7072,0.45428,1.54541,1.22784,1.75433,9.91865e-05,9.91865e-05,9.91865e-05
97,204.733,0.33646,0.43908,0.92354,0.60549,0.70294,0.71665,0.46977,1.51732,1.22163,1.73761,8.26832e-05,8.26832e-05,8.26832e-05
98,206.728,0.39825,0.45834,0.92012,0.63879,0.72131,0.70405,0.47053,1.48702,1.24761,1.74466,6.61799e-05,6.61799e-05,6.61799e-05
99,208.818,0.33492,0.40869,0.9006,0.60602,0.71526,0.70372,0.46956,1.46505,1.29213,1.73666,4.96766e-05,4.96766e-05,4.96766e-05
100,210.883,0.32426,0.40745,0.91122,0.60599,0.71748,0.70478,0.47186,1.45165,1.26739,1.73083,3.31733e-05,3.31733e-05,3.31733e-05
